title_english,status,episodes,rating,rank,popularity,members,favorites,score,scored_by,genres,themes,demographics
Black Lagoon,Finished Airing,12.0,R - 17+ (violence & profanity),641.0,158,1070609,20022,8.03,519399.0,Action,"Adult Cast, Organized Crime",Seinen
Classroom of the Elite,Finished Airing,12.0,PG-13 - Teens 13 or older,977.0,103,1393026,19638,7.84,874862.0,"Drama, Suspense","Psychological, School",
InuYasha,Finished Airing,167.0,PG-13 - Teens 13 or older,901.0,247,836904,19539,7.87,406132.0,"Action, Adventure, Fantasy, Romance","Historical, Love Polygon, Mythology, Time Travel",Shounen
The Seven Deadly Sins,Finished Airing,24.0,PG-13 - Teens 13 or older,1587.0,33,2150225,19321,7.61,1396706.0,"Action, Adventure, Fantasy",,Shounen
Mushoku Tensei: Jobless Reincarnation Part 2,Finished Airing,12.0,R - 17+ (violence & profanity),87.0,164,1053520,19062,8.63,660941.0,"Adventure, Drama, Fantasy, Ecchi","Isekai, Reincarnation",
Kaguya-sama: Love is War?,Finished Airing,12.0,PG-13 - Teens 13 or older,89.0,99,1440463,18953,8.62,921607.0,"Comedy, Romance",School,Seinen
The Tatami Galaxy,Finished Airing,11.0,R - 17+ (violence & profanity),121.0,514,477674,18833,8.55,152455.0,"Award Winning, Comedy, Mystery, Romance, Suspense","Adult Cast, Psychological, Time Travel",
Solo Leveling,Finished Airing,12.0,R - 17+ (violence & profanity),345.0,177,998803,18746,8.25,606677.0,"Action, Adventure, Fantasy","Adult Cast, Urban Fantasy",
"Love, Chunibyo & Other Delusions!",Finished Airing,12.0,PG-13 - Teens 13 or older,1332.0,101,1421608,18520,7.7,810987.0,"Comedy, Romance",School,
Vinland Saga Season 2,Finished Airing,24.0,R - 17+ (violence & profanity),33.0,287,764704,18349,8.81,421487.0,"Action, Adventure, Drama","Gore, Historical",Seinen
Another,Finished Airing,12.0,R - 17+ (violence & profanity),2150.0,62,1737923,18219,7.46,1029861.0,"Horror, Mystery","Gore, School",
