title_english,status,episodes,rating,rank,popularity,favorites,score,scored_by_members,action,adventure,avant_garde,award_winning,boys_love,comedy,drama,ecchi,erotica,fantasy,girls_love,gourmet,hentai,horror,mystery,romance,sci-fi,slice_of_life,sports,supernatural,suspense,theme_adult_cast,theme_anthropomorphic,theme_cgdct,theme_childcare,theme_combat_sports,theme_crossdressing,theme_delinquents,theme_detective,theme_educational,theme_gag_humor,theme_gore,theme_harem,theme_high_stakes_game,theme_historical,theme_idols_(female),theme_idols_(male),theme_isekai,theme_iyashikei,theme_love_polygon,theme_love_status_quo,theme_magical_sex_shift,theme_mahou_shoujo,theme_martial_arts,theme_mecha,theme_medical,theme_military,theme_music,theme_mythology,theme_organized_crime,theme_otaku_culture,theme_parody,theme_performing_arts,theme_pets,theme_psychological,theme_racing,theme_reincarnation,theme_reverse_harem,theme_samurai,theme_school,theme_showbiz,theme_space,theme_strategy_game,theme_super_power,theme_survival,theme_team_sports,theme_time_travel,theme_urban_fantasy,theme_vampire,theme_video_game,theme_villainess,theme_visual_arts,theme_workplace,log_popularity,log_episodes
KonoSuba: God's Blessing on This Wonderful World!,0,10.0,PG-13,549.0,39,46774,8.09,1713022.5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6888794541139363,2.3978952727983707
Made in Abyss,0,13.0,R,86.0,91,46530,8.63,1146475.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5217885770490405,2.6390573296152584
JoJo's Bizarre Adventure: Diamond Is Unbreakable,0,39.0,R,143.0,130,41837,8.5,1020533.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.875197323201151,3.6888794541139363
Kaguya-sama: Love is War,0,12.0,PG-13,209.0,51,41284,8.4,1514012.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9512437185814275,2.5649493574615367
Dragon Ball Z,0,291.0,PG-13,412.0,114,40730,8.2,1084566.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74493212836325,5.676753802268282
unknown ,0,12.0,PG-13,179.0,60,40359,8.45,1427355.5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.110873864173311,2.5649493574615367
Samurai Champloo,0,26.0,R,139.0,108,39836,8.52,986735.5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6913478822291435,3.295836866004329
Psycho-Pass,0,22.0,R,266.0,65,39728,8.33,1260007.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.189654742026425,3.1354942159291497
Kill la Kill,0,24.0,PG-13,638.0,57,38749,8.03,1394006.0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4.060443010546419,3.2188758248682006
JoJo's Bizarre Adventure (2012),0,26.0,R,904.0,58,38720,7.87,1458455.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.07753744390572,3.295836866004329
